title,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9
Spooky's Jump Scare Mansion,0.16061185468451242,0.16252390057361377,0.04780114722753346,0.04780114722753346,0.08221797323135756,0.06500956022944551,0.10325047801147227,0.12810707456978968,0.0019120458891013384,0.20076481835564053
Sakura Clicker,0.0945945945945946,0.05067567567567568,0.060810810810810814,0.016891891891891893,0.14864864864864866,0.15033783783783783,0.015202702702702704,0.15202702702702703,0.13344594594594594,0.17736486486486486
WARMODE,0.1,0.232,0.06,0.044,0.092,0.008,0.012,0.216,0.2,0.036
Fractured Space,0.015625,0.0234375,0.0625,0.0078125,0.1328125,0.140625,0.1171875,0.0859375,0.21875,0.1953125
Counter-Strike: Global Offensive,0.00338409475465313,0.005076142131979695,0.021996615905245348,0.05245346869712352,0.07614213197969544,0.13705583756345177,0.08121827411167512,0.21996615905245348,0.22165820642978004,0.18104906937394247
Dota 2,0.14957264957264957,0.004273504273504274,0.00641025641025641,0.09829059829059829,0.08547008547008547,0.28205128205128205,0.2841880341880342,0.008547008547008548,0.021367521367521368,0.05982905982905983
Path of Exile,0.0036101083032490976,0.005415162454873646,0.08303249097472924,0.07220216606498195,0.10830324909747292,0.1371841155234657,0.036101083032490974,0.24187725631768953,0.11010830324909747,0.20216606498194944
War Thunder,0.11176470588235295,0.08529411764705883,0.0058823529411764705,0.008823529411764706,0.03823529411764706,0.2735294117647059,0.06470588235294118,0.04411764705882353,0.03235294117647059,0.3352941176470588
Ring of Elysium,0.005050505050505051,0.007575757575757576,0.05303030303030303,0.09343434343434344,0.06818181818181818,0.03535353535353535,0.15656565656565657,0.3409090909090909,0.10353535353535354,0.13636363636363635
Team Fortress 2,0.0038240917782026767,0.0057361376673040155,0.0038240917782026767,0.0057361376673040155,0.2198852772466539,0.12810707456978968,0.07074569789674952,0.09369024856596558,0.2638623326959847,0.2045889101338432
World of Warships,0.08493150684931507,0.13150684931506848,0.14520547945205478,0.09315068493150686,0.03287671232876712,0.005479452054794521,0.00821917808219178,0.030136986301369864,0.08493150684931507,0.3835616438356164
Star Trek Online,0.012738853503184714,0.01910828025477707,0.3821656050955414,0.08280254777070063,0.1464968152866242,0.012738853503184714,0.01910828025477707,0.2356687898089172,0.025477707006369428,0.06369426751592357
Yu-Gi-Oh! Duel Links,0.13559322033898305,0.05084745762711865,0.06779661016949153,0.0423728813559322,0.01694915254237288,0.038135593220338986,0.0635593220338983,0.046610169491525424,0.2669491525423729,0.2711864406779661
Paladins®,0.0718232044198895,0.011049723756906077,0.016574585635359115,0.04419889502762431,0.0055248618784530384,0.16574585635359115,0.049723756906077346,0.13812154696132597,0.1878453038674033,0.30939226519337015
SMITE®,0.003472222222222222,0.034722222222222224,0.2777777777777778,0.16319444444444445,0.09027777777777778,0.03125,0.10416666666666667,0.08680555555555555,0.1527777777777778,0.05555555555555555
Brawlhalla,0.4090909090909091,0.26704545454545453,0.048295454545454544,0.05113636363636364,0.06818181818181818,0.03409090909090909,0.022727272727272728,0.002840909090909091,0.07102272727272728,0.02556818181818182
World of Tanks Blitz,0.11403508771929824,0.2719298245614035,0.06432748538011696,0.03508771929824561,0.043859649122807015,0.03216374269005848,0.07894736842105263,0.04093567251461988,0.19298245614035087,0.12573099415204678
Shadowverse CCG,0.18439716312056736,0.1773049645390071,0.06855791962174941,0.10401891252955082,0.09219858156028368,0.028368794326241134,0.22458628841607564,0.02127659574468085,0.037825059101654845,0.061465721040189124
DCS World Steam Edition,0.008797653958944282,0.3548387096774194,0.2668621700879765,0.12023460410557185,0.07917888563049853,0.04105571847507331,0.06451612903225806,0.02346041055718475,0.002932551319648094,0.03812316715542522
Heroes & Generals,0.3333333333333333,0.05434782608695652,0.03985507246376811,0.043478260869565216,0.10144927536231885,0.18115942028985507,0.03260869565217391,0.06159420289855073,0.06521739130434782,0.08695652173913043
The Elder Scrolls®: Legends™,0.07673860911270983,0.02877697841726619,0.047961630695443645,0.1510791366906475,0.15347721822541965,0.2302158273381295,0.07673860911270983,0.009592326139088728,0.11990407673860912,0.10551558752997602
Tree of Savior (English Ver.),0.008695652173913044,0.021739130434782608,0.15434782608695652,0.1565217391304348,0.15869565217391304,0.004347826086956522,0.006521739130434782,0.12173913043478261,0.1956521739130435,0.17173913043478262
Trove,0.026465028355387523,0.18714555765595464,0.003780718336483932,0.005671077504725898,0.20793950850661624,0.20982986767485823,0.23062381852551986,0.05671077504725898,0.030245746691871456,0.04158790170132325
Neverwinter,0.07432432432432433,0.03153153153153153,0.009009009009009009,0.02252252252252252,0.13513513513513514,0.11261261261261261,0.15990990990990991,0.16216216216216217,0.16441441441441443,0.12837837837837837
Realm Royale,0.06451612903225806,0.008064516129032258,0.016129032258064516,0.024193548387096774,0.12096774193548387,0.08870967741935484,0.18548387096774194,0.016129032258064516,0.024193548387096774,0.45161290322580644
PlanetSide 2,0.14482758620689656,0.013793103448275862,0.020689655172413793,0.15862068965517243,0.013793103448275862,0.020689655172413793,0.0896551724137931,0.4068965517241379,0.06206896551724138,0.06896551724137931
VEGA Conflict,0.2,0.1,0.05714285714285714,0.11904761904761904,0.009523809523809525,0.014285714285714285,0.04285714285714286,0.09047619047619047,0.19523809523809524,0.17142857142857143
Minion Masters,0.30364372469635625,0.11740890688259109,0.09109311740890688,0.0708502024291498,0.06477732793522267,0.024291497975708502,0.1396761133603239,0.1417004048582996,0.02631578947368421,0.020242914979757085
Realm of the Mad God,0.031161473087818695,0.10198300283286119,0.025495750708215296,0.22946175637393768,0.0708215297450425,0.0056657223796034,0.0084985835694051,0.4447592067988669,0.036827195467422094,0.0453257790368272
Elsword,0.11698717948717949,0.03205128205128205,0.057692307692307696,0.02564102564102564,0.003205128205128205,0.004807692307692308,0.1891025641025641,0.1907051282051282,0.19230769230769232,0.1875
The Lord of the Rings Online™,0.10043668122270742,0.008733624454148471,0.013100436681222707,0.14410480349344978,0.0611353711790393,0.1091703056768559,0.09170305676855896,0.05240174672489083,0.3318777292576419,0.08733624454148471
